what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233345014
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303233346974
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233349244
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303233350421
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233352159
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233352279
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233352348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233353219
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233357037
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1303233357655
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303233358827
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303233359509
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233363377
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233365402
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233371846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303233375706
executed,command,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui.format.document",1303233377667
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303233378988
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1303233384849
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1303233386314
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233386792
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303233387327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233387388
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1303233399317
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233403939
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233405344
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233406252
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303233410788
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1303233412602
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1303233414124
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233414555
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303233415119
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233415244
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233421923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233489577
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1303233492130
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233508015
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233513486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233521515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233552259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233553930
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233769518
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303233771105
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233776461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233780880
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233780995
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233781074
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1303233781891
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303233782219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233784890
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1303233785010
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233789316
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233791543
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1303233798462
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303233800871
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1303233803675
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303233805579
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303233807596
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303233810756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233813698
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233959451
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303233962680
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303233965422
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303233966080
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1303233968767
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1303233970508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233970896
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303233971641
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303233971720
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303234000410
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1303234000718
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1303234005397
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1303234009248
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1303234009290
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1303234009332
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234009389
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234009397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234010075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234010089
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1303234013011
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1303234014556
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234014965
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303234015485
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234015565
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1303234029618
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303234066023
error,log,,,"Unexpected runtime error while computing a text hover",1303234071207
error,log,,,"Unexpected runtime error while computing a text hover",1303234073040
error,log,,,"Unexpected runtime error while computing a text hover",1303234073882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234083519
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234099378
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1303234100556
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303234101268
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234117836
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234170279
error,log,,,"Unexpected runtime error while computing a text hover",1303234190009
error,log,,,"Unexpected runtime error while computing a text hover",1303234196455
error,log,,,"Unexpected runtime error while computing a text hover",1303234202384
error,log,,,"Unexpected runtime error while computing a text hover",1303234206410
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303234217641
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1303234220149
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303234226766
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1303234228901
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1303234231623
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1303234233169
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234233564
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303234234241
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234234313
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1303234245673
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303234256336
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1303234267028
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1303234274751
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1303234282606
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303234287603
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1303234292208
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1303234294201
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234294608
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303234295102
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234295217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234296525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234357360
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1303234359726
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303234389996
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1303234398680
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303234415788
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303234420100
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303234468631
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1303234472616
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1303234474232
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234474612
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303234475142
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234475244
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234489976
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303234491961
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1303234493408
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303234502684
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1303234510909
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1303234519534
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303234522275
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1303234529671
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1303234531163
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1303234535542
error,log,,,"Unexpected runtime error while computing a text hover",1303234536814
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303234539292
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1303234540072
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1303234540750
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1303234541849
